Date,Day,Country,Type,Counts
10/18/2014,210,Senegal,Cases,
10/14/2014,206,Senegal,Cases,1.0
10/13/2014,205,Senegal,Cases,
10/12/2014,204,Senegal,Cases,1.0
10/11/2014,203,Senegal,Cases,
10/8/2014,200,Senegal,Cases,1.0
10/7/2014,199,Senegal,Cases,
10/5/2014,197,Senegal,Cases,1.0
10/4/2014,196,Senegal,Cases,
10/1/2014,193,Senegal,Cases,1.0
9/28/2014,190,Senegal,Cases,1.0
9/23/2014,185,Senegal,Cases,1.0
9/21/2014,183,Senegal,Cases,1.0
9/20/2014,182,Senegal,Cases,
9/19/2014,181,Senegal,Cases,
9/17/2014,179,Senegal,Cases,
9/14/2014,176,Senegal,Cases,
9/13/2014,175,Senegal,Cases,1.0
9/10/2014,172,Senegal,Cases,1.0
9/9/2014,171,Senegal,Cases,
9/7/2014,169,Senegal,Cases,3.0
9/5/2014,167,Senegal,Cases,1.0
8/31/2014,162,Senegal,Cases,1.0
8/26/2014,157,Senegal,Cases,
8/20/2014,151,Senegal,Cases,
8/18/2014,149,Senegal,Cases,
8/16/2014,147,Senegal,Cases,
8/13/2014,144,Senegal,Cases,
8/11/2014,142,Senegal,Cases,
8/9/2014,140,Senegal,Cases,
8/6/2014,137,Senegal,Cases,
8/4/2014,135,Senegal,Cases,
8/1/2014,132,Senegal,Cases,
7/30/2014,129,Senegal,Cases,
7/27/2014,126,Senegal,Cases,
7/23/2014,123,Senegal,Cases,
7/20/2014,120,Senegal,Cases,
7/17/2014,117,Senegal,Cases,
7/14/2014,114,Senegal,Cases,
7/12/2014,112,Senegal,Cases,
7/8/2014,108,Senegal,Cases,
7/6/2014,106,Senegal,Cases,
7/2/2014,102,Senegal,Cases,
6/30/2014,100,Senegal,Cases,
6/22/2014,92,Senegal,Cases,
6/20/2014,90,Senegal,Cases,
6/19/2014,89,Senegal,Cases,
6/18/2014,88,Senegal,Cases,
6/17/2014,87,Senegal,Cases,
6/16/2014,86,Senegal,Cases,
6/10/2014,80,Senegal,Cases,
6/5/2014,75,Senegal,Cases,
6/3/2014,73,Senegal,Cases,
6/1/2014,71,Senegal,Cases,
5/28/2014,67,Senegal,Cases,
5/27/2014,66,Senegal,Cases,
5/23/2014,62,Senegal,Cases,
5/12/2014,51,Senegal,Cases,
5/10/2014,49,Senegal,Cases,
5/7/2014,46,Senegal,Cases,
5/5/2014,44,Senegal,Cases,
5/3/2014,42,Senegal,Cases,
5/1/2014,40,Senegal,Cases,
4/26/2014,35,Senegal,Cases,
4/24/2014,33,Senegal,Cases,
4/23/2014,32,Senegal,Cases,
4/22/2014,31,Senegal,Cases,
4/21/2014,30,Senegal,Cases,
4/20/2014,29,Senegal,Cases,
4/17/2014,26,Senegal,Cases,
4/16/2014,25,Senegal,Cases,
4/15/2014,24,Senegal,Cases,
4/14/2014,23,Senegal,Cases,
4/11/2014,20,Senegal,Cases,
4/9/2014,18,Senegal,Cases,
4/7/2014,16,Senegal,Cases,
4/4/2014,13,Senegal,Cases,
4/1/2014,10,Senegal,Cases,
3/31/2014,9,Senegal,Cases,
3/29/2014,7,Senegal,Cases,
3/28/2014,6,Senegal,Cases,
3/27/2014,5,Senegal,Cases,
3/26/2014,4,Senegal,Cases,
3/25/2014,3,Senegal,Cases,
3/24/2014,2,Senegal,Cases,
3/22/2014,0,Senegal,Cases,
1/5/2015,289,UnitedStates,Cases,
1/4/2015,288,UnitedStates,Cases,
1/3/2015,287,UnitedStates,Cases,
1/2/2015,286,UnitedStates,Cases,
12/31/2014,284,UnitedStates,Cases,
12/28/2014,281,UnitedStates,Cases,
12/27/2014,280,UnitedStates,Cases,
12/24/2014,277,UnitedStates,Cases,
12/21/2014,273,UnitedStates,Cases,
12/20/2014,272,UnitedStates,Cases,
12/18/2014,271,UnitedStates,Cases,
12/14/2014,267,UnitedStates,Cases,
12/9/2014,262,UnitedStates,Cases,
12/7/2014,260,UnitedStates,Cases,4.0
12/3/2014,256,UnitedStates,Cases,
11/30/2014,253,UnitedStates,Cases,4.0
11/28/2014,251,UnitedStates,Cases,
11/23/2014,246,UnitedStates,Cases,4.0
11/22/2014,245,UnitedStates,Cases,
11/18/2014,241,UnitedStates,Cases,4.0
11/16/2014,239,UnitedStates,Cases,4.0
11/15/2014,238,UnitedStates,Cases,
11/11/2014,234,UnitedStates,Cases,4.0
11/10/2014,233,UnitedStates,Cases,
11/9/2014,232,UnitedStates,Cases,4.0
11/8/2014,231,UnitedStates,Cases,
11/4/2014,227,UnitedStates,Cases,4.0
11/3/2014,226,UnitedStates,Cases,
11/2/2014,225,UnitedStates,Cases,4.0
10/31/2014,222,UnitedStates,Cases,
10/29/2014,220,UnitedStates,Cases,4.0
10/27/2014,218,UnitedStates,Cases,4.0
10/25/2014,216,UnitedStates,Cases,
10/22/2014,214,UnitedStates,Cases,4.0
10/21/2014,213,UnitedStates,Cases,
10/19/2014,211,UnitedStates,Cases,3.0
10/18/2014,210,UnitedStates,Cases,
10/14/2014,206,UnitedStates,Cases,3.0
10/13/2014,205,UnitedStates,Cases,
